xi: Dimensionless distance
theta: Dimensionless pressure T
M: Dimensionless mass M


xi	theta	M
0.0023300000000000052	0.9999054331810258	5.298136550756752e-08
0.0023400000000000053	0.9999046196237484	5.3666417193417574e-08
0.0023500000000000053	0.999903802582662	5.435734824663591e-08
0.0023600000000000053	0.9999029820577731	5.505418377815224e-08
0.0023700000000000053	0.9999021580490882	5.575694889870989e-08
0.0023800000000000054	0.9999013305566142	5.646566871886497e-08
0.0023900000000000054	0.9999004995803579	5.7180368348985626e-08
0.0024000000000000054	0.9998996651203258	5.7901072899251225e-08
0.0024100000000000055	0.9998988271765248	5.862780747965155e-08
0.0024200000000000055	0.9998979857489616	5.9360597199986046e-08
0.0024300000000000055	0.999897140837643	6.009946716986298e-08
0.0024400000000000055	0.9998962924425759	6.084444249869868e-08
0.0024500000000000056	0.9998954405637671	6.159554829571673e-08
0.0024600000000000056	0.9998945852012235	6.235280966994718e-08
0.0024700000000000056	0.999893726354952	6.311625173022577e-08
0.0024800000000000056	0.9998928640249594	6.38858995851931e-08
0.0024900000000000057	0.9998919982112526	6.466177834329387e-08
0.0025000000000000057	0.9998911289138388	6.544391311277606e-08
0.0025100000000000057	0.9998902561327248	6.623232900169018e-08
0.0025200000000000057	0.9998893798679175	6.702705111788845e-08
0.0025300000000000058	0.999888500119424	6.782810456902399e-08
0.002540000000000006	0.9998876168872514	6.863551446255005e-08
0.002550000000000006	0.9998867301714067	6.94493059057192e-08
0.002560000000000006	0.9998858399718971	7.026950400558259e-08
0.002570000000000006	0.9998849462887295	7.109613386898908e-08
0.002580000000000006	0.9998840491219112	7.19292206025845e-08
0.002590000000000006	0.9998831484714493	7.276878931281085e-08
0.002600000000000006	0.999882244337351	7.361486510590548e-08
0.002610000000000006	0.9998813367196233	7.446747308790034e-08
0.002620000000000006	0.9998804256182737	7.532663836462113e-08
0.002630000000000006	0.9998795110333093	7.619238604168659e-08
0.002640000000000006	0.9998785929647374	7.706474122450763e-08
0.002650000000000006	0.9998776714125652	7.794372901828656e-08
0.002660000000000006	0.9998767463768001	7.882937452801635e-08
0.002670000000000006	0.9998758178574494	7.972170285847973e-08
0.002680000000000006	0.9998748858545204	8.06207391142485e-08
0.002690000000000006	0.9998739503680206	8.15265083996827e-08
0.002700000000000006	0.9998730113979574	8.243903581892978e-08
0.0027100000000000062	0.9998720689443381	8.335834647592388e-08
0.0027200000000000063	0.9998711230071702	8.428446547438498e-08
0.0027300000000000063	0.9998701735864611	8.521741791781813e-08
0.0027400000000000063	0.9998692206822185	8.615722890951265e-08
0.0027500000000000063	0.9998682642944497	8.710392355254136e-08
0.0027600000000000064	0.9998673044231624	8.805752694975975e-08
0.0027700000000000064	0.9998663410683641	8.901806420380521e-08
0.0027800000000000064	0.9998653742300624	8.998556041709626e-08
0.0027900000000000065	0.9998644039082648	9.096004069183168e-08
0.0028000000000000065	0.9998634301029791	9.194153012998984e-08
0.0028100000000000065	0.9998624528142128	9.293005383332777e-08
0.0028200000000000065	0.9998614720419737	9.392563690338048e-08
0.0028300000000000066	0.9998604877862696	9.49283044414601e-08
0.0028400000000000066	0.999859500047108	9.593808154865512e-08
0.0028500000000000066	0.9998585088244968	9.695499332582959e-08
0.0028600000000000066	0.9998575141184437	9.797906487362232e-08
0.0028700000000000067	0.9998565159289565	9.901032129244609e-08
0.0028800000000000067	0.9998555142560431	1.0004878768248686e-07
0.0028900000000000067	0.9998545090997113	1.01094489143703e-07
0.0029000000000000067	0.9998535004599689	1.0214745077582444e-07
0.0029100000000000068	0.9998524883368239	1.0320769767835194e-07
0.002920000000000007	0.9998514727302842	1.0427525495055626e-07
0.002930000000000007	0.9998504536403576	1.053501476914774e-07
0.002940000000000007	0.9998494310670524	1.0643240099992376e-07
0.002950000000000007	0.9998484050103762	1.0752203997447138e-07
0.002960000000000007	0.9998473754703373	1.0861908971346315e-07
0.002970000000000007	0.9998463424469436	1.09723575315008e-07
0.002980000000000007	0.9998453059402033	1.1083552187698012e-07
0.002990000000000007	0.9998442659501243	1.1195495449701819e-07
0.003000000000000007	0.9998432224767149	1.130818982725245e-07
0.003010000000000007	0.999842175519983	1.142163783006643e-07
0.003020000000000007	0.9998411250799369	1.1535841967836486e-07
0.003030000000000007	0.9998400711565849	1.1650804750231478e-07
0.003040000000000007	0.999839013749935	1.1766528686896318e-07
0.003050000000000007	0.9998379528599955	1.1883016287451884e-07
0.003060000000000007	0.9998368884867748	1.200027006149495e-07
0.003070000000000007	0.999835820630281	1.2118292518598104e-07
0.003080000000000007	0.9998347492905225	1.223708616830966e-07
0.0030900000000000072	0.9998336744675076	1.2356653520153597e-07
0.0031000000000000073	0.9998325961612446	1.2476997083629458e-07
0.0031100000000000073	0.9998315143717421	1.259811936821229e-07
0.0031200000000000073	0.9998304290990083	1.2720022883352553e-07
0.0031300000000000073	0.9998293403430517	1.2842710138476044e-07
0.0031400000000000074	0.9998282481038807	1.296618364298382e-07
0.0031500000000000074	0.9998271523815038	1.3090445906252116e-07
0.0031600000000000074	0.9998260531759294	1.3215499437632267e-07
0.0031700000000000074	0.9998249504871662	1.3341346746450628e-07
0.0031800000000000075	0.9998238443152228	1.3467990342008496e-07
0.0031900000000000075	0.9998227346601076	1.359543273358203e-07
0.0032000000000000075	0.9998216215218293	1.372367643042217e-07
0.0032100000000000076	0.9998205049003965	1.385272394175456e-07
0.0032200000000000076	0.9998193847958179	1.3982577776779474e-07
0.0032300000000000076	0.999818261208102	1.4113240444671724e-07
0.0032400000000000076	0.9998171341372577	1.424471445458059e-07
0.0032500000000000077	0.9998160035832937	1.437700231562974e-07
0.0032600000000000077	0.9998148695462187	1.451010653691715e-07
0.0032700000000000077	0.9998137320260414	1.4644029627515023e-07
0.0032800000000000077	0.9998125910227708	1.477877409646971e-07
0.0032900000000000078	0.9998114465364155	1.4914342452801636e-07
0.003300000000000008	0.9998102985669846	1.5050737205505212e-07
0.003310000000000008	0.9998091471144868	1.5187960863548765e-07
0.003320000000000008	0.9998079921789309	1.532601593587445e-07
0.003330000000000008	0.9998068337603261	1.5464904931398182e-07
0.003340000000000008	0.9998056718586812	1.560463035900954e-07
0.003350000000000008	0.9998045064740051	1.5745194727571708e-07
0.003360000000000008	0.9998033376063069	1.5886600545921376e-07
0.003370000000000008	0.9998021652555956	1.6028850322868676e-07
0.003380000000000008	0.9998009894218803	1.6171946567197097e-07
0.003390000000000008	0.99979981010517	1.6315891787663405e-07
0.003400000000000008	0.999798627305474	1.6460688492997565e-07
0.003410000000000008	0.9997974410228011	1.660633919190266e-07
0.003420000000000008	0.9997962512571607	1.6752846393054817e-07
0.003430000000000008	0.9997950580085618	1.6900212605103122e-07
0.003440000000000008	0.9997938612770138	1.7048440336669542e-07
0.003450000000000008	0.9997926610625257	1.7197532096348846e-07
0.003460000000000008	0.999791457365107	1.7347490392708532e-07
0.0034700000000000082	0.9997902501847669	1.7498317734288736e-07
0.0034800000000000083	0.9997890395215145	1.7650016629602162e-07
