R,M,P
0.1676493058263908,8.06275451842883e-06,1.2963394135469651e+27
0.16805523634897285,8.121452950105035e-06,1.2963347249986053e+27
0.1684611668715549,8.18043550636543e-06,1.2963300251266048e+27
0.1688670973941369,8.23970287225857e-06,1.296325313931073e+27
0.16927302791671897,8.299255732823992e-06,1.2963205914121205e+27
0.16967895843930103,8.359094773092239e-06,1.296315857569858e+27
0.17008488896188306,8.41922067808481e-06,1.296311112404396e+27
0.17049081948446512,8.479634132814148e-06,1.296306355915846e+27
0.17089675000704713,8.540335822283625e-06,1.2963015881043194e+27
0.1713026805296292,8.601326431487509e-06,1.2962968089699278e+27
0.17170861105221125,8.662606645410946e-06,1.296292018512783e+27
0.17211454157479328,8.724177149029944e-06,1.2962872167329972e+27
0.17252047209737534,8.786038627311343e-06,1.2962824036306831e+27
0.1729264026199574,8.848191765212798e-06,1.2962775792059532e+27
0.1733323331425394,8.910637247682763e-06,1.2962727434589206e+27
0.17373826366512146,8.973375759660448e-06,1.2962678963896984e+27
0.1741441941877035,9.036407986075831e-06,1.2962630379984003e+27
0.17455012471028555,9.099734611849606e-06,1.2962581682851396e+27
0.17495605523286759,9.163356321893173e-06,1.296253287250031e+27
0.17536198575544962,9.227273801108625e-06,1.296248394893188e+27
0.17576791627803168,9.291487734388709e-06,1.296243491214726e+27
0.17617384680061374,9.355998806616819e-06,1.2962385762147592e+27
0.17657977732319574,9.420807702666965e-06,1.296233649893403e+27
0.1769857078457778,9.485915107403757e-06,1.2962287122507726e+27
